2017-04-06 12:39:06,"b'https://t.co/4sF7xkcrOw?\nGet World Newspapers for free -\nhttps://t.co/6oM2n3sPrl\nOne sex predator defends another...file under ""predator""'"
2017-04-06 12:39:06,"b""Investing in Sunderland's future enterprise and innovation https://t.co/gMVQIafEKs #Innovaci\xc3\xb3n #Innovation"""
2017-04-06 12:39:06,b'Houndoom available until 09:08:46am (29m 52s). Fire Fang / Crunch (17.8% - 2/2/4) https://t.co/QHQUx4BfX4'
2017-04-06 12:39:06,b'[East Bronx] Rhydon (M) (IV: 26%) until 09:08:05AM at 124 Indian Trail https://t.co/yUN2cLoBTD https://t.co/lO2ddxNY5C'
2017-04-06 12:39:06,"b""Becky's Affiliated: Innovation in Sports Betting technology with Thomas Willomitzer https://t.co/o9hyLGFVHG #Innovaci\xc3\xb3n #Innovation"""
2017-04-06 12:39:05,b'S Coronado Island: Donphan \xe2\x99\x80 42.2% (8/3/8 - Counter/Play Rough - s:normal) til 06:02:23(24m 44s). https://t.co/rj7mlkcxH3'
2017-04-06 12:39:05,"b""RT @Lucy_thomas1: Learning how to use Google's geo-tools in reporting. My blogs about to get fancy! #efa17 #ijf17 https://t.co/NzVbt6ljbb"""
2017-04-06 12:39:05,b'#Conservative #Healthcare Trump feud with Obama intensifies... https://t.co/8vFy3ccTuV https://t.co/1D6Oa4k42l'
2017-04-06 12:39:05,b'Traffic Obstruction at 2082 OLD FOWLER CREEK RD Kenton County https://t.co/1G9uh7V3cV'
2017-04-06 12:39:05,b'#Conservative #Healthcare Anti-Trump right and left seek ways to unite... https://t.co/mgQ8nxGxf4 https://t.co/XP5R45GrVF'
2017-04-06 12:39:05,"b'#SwissArtDC 1: Le Corbusier\'s ""Chez soi"" (1960) in the dining room @SwissEmbassyUSA #Art \nhttps://t.co/xX4yjxVqKr https://t.co/2LX9FtgKPU'"
2017-04-06 12:39:05,b'[Northeast Philadelphia] Snorlax (M) (IV: 84%) until 09:08:46AM at 9605 Eden Hall Ln https://t.co/v63AV5KF05 https://t.co/tq68otjLQg'
2017-04-06 12:39:05,b'S Golf Course: Larvitar \xe2\x99\x82 46.7% (7/5/9 - Bite/Ancient Power - s:large) til 06:03:36(29m 46s). https://t.co/ZILk2QkvwF'
2017-04-06 12:39:05,b'https://t.co/a9dZswB1kk - Terry Wohlers gives 3D Printing Industry further insights into the Wohle... https://t.co/RAuxac9OaG'
2017-04-06 12:39:04,b'Traffic Obstruction at INDUSTRIAL RD &amp; TURKEYFOOT RD Independence https://t.co/7hFCiYJWDl'
2017-04-06 12:39:04,"b'Aerodactyl \xe2\x99\x82 (46.7% 1/5/15, Bite / Ancient Power) until 06:08:26 (29m 45s). https://t.co/Ig6OV1xv1Q'"
2017-04-06 12:39:04,b'S Strand: Dratini \xe2\x99\x82 62.2% (14/2/12 - Iron Tail/Twister - s:normal) til 06:03:04(29m 46s). https://t.co/XTu3erSJ3E'
2017-04-06 12:39:04,b'Love Return Psychoanalytic Essays https://t.co/ag3lqINjFn #mentalhealth'
2017-04-06 12:39:04,b'RSA: Phanpy 44.4% (7/9/4/Tackle/Bulldoze) till 06:33:46 (54m 41s).\nlvl30+ CP:891 (L30)\nhttps://t.co/5jeDm0xjbY'
2017-04-06 12:39:03,b'https://t.co/a9dZswB1kk - 3D Hubs releases 3D printing trend report for Q2 2017 including the best... https://t.co/OA1kNKIVtW'
2017-04-06 12:39:03,b'Why The End Is Near For The Facebook-Google Duopoly via @JGBrooksJR https://t.co/PtASLhWFtb https://t.co/rHk5oBiysC'
2017-04-06 12:39:03,b'RT @seth_rosenthal: Google Maps lets you review Europe. The whole thing. https://t.co/8BAoMHJtuR'
2017-04-06 12:39:03,b'RT @AttackFH: VOTEM PELO GOOGLE\n\nHARMOS ON BANG #FifthHarmony #YouKnowYouLoveThem @radiodisney'
2017-04-06 12:39:03,b'[Surry Hills] Forretress (F) (IV: 42%) until 11:08:58PM at  Sandwell St https://t.co/7Mhq2BTvcZ https://t.co/h1TASLfz3n'
2017-04-06 12:39:02,b'Google: Use Disavow File When Threatened With Negative SEO https://t.co/DoYrR4IC7I'
2017-04-06 12:39:02,"b'German Millennials most \xe2\x80\x98immigrant-friendly\xe2\x80\x99 among Europeans, study reveals. https://t.co/xQRRe1BkxW'"
2017-04-06 12:39:02,"b'@JajaPhD I was using ""devil finder"" before google came.'"
2017-04-06 12:39:02,b'Snorlax (M) (IV: 42%) until 08:08:00AM at 4811 S Central Ave https://t.co/5Ns0aTOc80 https://t.co/H9ojzISdoj'
2017-04-06 12:39:02,b'unknown: Larvitar \xe2\x99\x80 35.6% (11/2/3 - Bite/Crunch - s:big) til 06:01:22(22m 18s). https://t.co/JQGqtGrRTR'
2017-04-06 12:39:02,b'A wild Granbull has appeared! Available until 14:36:53 (57m 51s). https://t.co/gQQsflN3Nv'
2017-04-06 12:39:02,b'T #ThingsIWontApologizeFor V #VacationAFilm\n- #Rumiyah Magazine-in the English-Language.\nhttps://t.co/IoEdSN5VLz\nhttps://t.co/smLnzrG8Iv'
2017-04-06 12:39:02,b'[Jurong East] Exeggutor (F) (IV: 71%) until 09:07:34PM at  Pandan Garden Park Connector https://t.co/UGw4TrtoyB https://t.co/ue1HJLesoq'
2017-04-06 12:39:02,b'How to Find The Best Keywords To Rank In Google?\n&gt;&gt;&gt; https://t.co/rNeKzmMH9F\n\n#DigitalMarketing #SMM #Mpgvip\xe2\x80\xa6 https://t.co/m6jO4419wU'
2017-04-06 12:39:02,"b'RT @AndrewBeatty: Xi to greet Trump with a gift-basket of \xe2\x80\x9ctweetable deliverables"" https://t.co/mDywxQpdeW by @BenjaminDooley + I https://t\xe2\x80\xa6'"
2017-04-06 12:39:02,b'Rhydon (33.3%)\nMud Slap/Earthquake\n10/4/1 (ATK/DEF/STA)\nDespawns at 6:08:40\nhttps://t.co/qsh7byF0vz'
2017-04-06 12:39:01,b'[Northside] Snorlax (M) (IV: 73%) until 08:07:48AM at 76 Burbank St https://t.co/B0JLlw8IES https://t.co/sfE3dNC51M'
2017-04-06 12:39:01,b'[London] Lapras (M) (IV: 53%) until 02:08:20PM at 27 Cavendish Rd https://t.co/tufaeveghP https://t.co/Xed52QytX4'
2017-04-06 12:39:01,b'Building performant expand &amp; collapse animations  https://t.co/JLeBogTOXZ https://t.co/WN5Vn4MVMo'
2017-04-06 12:39:01,b'What sets us apart from other #DigitalMarketing agencies? We have a long-standing relationship with all our clients: https://t.co/CPbAfun3e3'
2017-04-06 12:39:00,b'Mountain View approves Google canopied campus innovative design for #waterreuse https://t.co/YptHcoX9Cw via @svbizjournal'
2017-04-06 12:39:00,"b'A wild Magneton (51.1% 9/11/3, Spark / Zap Cannon) has appeared! Available until 06:05:08 (26m 8s). https://t.co/CkNdxfEyEC'"
2017-04-06 12:38:58,"b'RT @HyuneeMart: (Pls RT - PH g.o.) @timemachine_cy slogan. Price: Php 1,100 per set. Deadline: April 25. https://t.co/Pk0CVDh4FX https://t.\xe2\x80\xa6'"
2017-04-06 12:38:56,b'N #news C #CNNChile B #BBC \no #Rumiyah Magazine^in the English^Language.\n\xe2\x80\x94-\nhttps://t.co/WBnoQKgB68\n- https://t.co/E5ueuAbxjv 1'
2017-04-06 12:38:56,"b'RT @MEAbel65: I just scored 3,613 on doodle jump!\nfor ios: https://t.co/8cccSm6P2Q\nfor android: https://t.co/7Q4Zsz6Z6x https://t.co/Krp3as\xe2\x80\xa6'"
2017-04-06 12:38:56,b'Google Patches 31 Critical Flaws in #Android https://t.co/PR5GHVNvOy'
2017-04-06 12:38:56,b'RT @V_of_Europe: Soros-Funded Groups Behind Google Censorship of Alternative Media https://t.co/lE9WnpJhkY'
2017-04-06 12:38:56,b'Faul.y redirects result in a negative user experfence. (Google Webmasters)'
2017-04-06 12:38:55,b'@jonoj777 @CraigRSawyer Google Metro1313 Jesuit Black Pope.'
